# query match x [px],query match y [px],map planet fixed x [m], map planet fixed y [m], map planet fixed z [m]
144.9389801025,78.0466995239,1253837.6071114009,-1050460.2082582419,577811.3382658969
221.7720489502,645.2181396484,1274595.4705225157,-1053702.2801267595,523982.1798594383
362.4616088867,97.3652343750,1270950.7053423699,-1030732.2427888955,575950.2657831509
436.0802307129,804.6036376953,1293744.5635443891,-1037081.6728274481,510029.1849656409
676.2485351562,838.7777709961,1311678.6263614951,-1015538.3164478138,507547.6123290099
728.7910156250,849.5321655273,1315791.1787648096,-1010937.3151299207,506090.9851094671
879.8108520508,541.1066894531,1319947.2544978140,-990825.3976652566,534259.5682219198
