# query match x [px],query match y [px],map planet fixed x [m], map planet fixed y [m], map planet fixed z [m]
290.5282897949,711.3646240234,1246632.5860961555,-1032631.2528511634,623704.4928905661
309.6746520996,677.0703125000,1247284.6829306034,-1029347.3742626027,627812.3334607821
312.2162475586,713.1246948242,1248858.1799798100,-1030301.9731184215,623105.1133609248
348.8814392090,118.4373703003,1229178.0098262266,-1007773.2297614437,694928.2293374725
561.0023193359,933.1213378906,1280758.7857157076,-1005551.0329029403,598299.3502787473
847.5481567383,761.3273925781,1302477.9239874261,-964806.7944690703,618165.2542800664
