# query match x [px],query match y [px],map planet fixed x [m], map planet fixed y [m], map planet fixed z [m]
46.8798828125,98.7615737915,1047518.4933211670,-979929.9013763783,975524.9877885743
485.2110900879,340.3289184570,1145078.0579134978,-916531.9849790154,926366.8440318685
703.3284301758,614.9398193359,1276571.6936532026,-798872.6254608281,861154.4398732457
726.1250000000,595.3977050781,1209396.5081655104,-884247.8049525799,874592.6122168503
1007.8737182617,773.8852539062,1050418.2848259825,-1041501.7889006134,906192.4418178855
