#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
673000000000,1178442.725831,-417771.451033279,1211101.59245455,0.165847861213279,-0.204058265063817,0.0351002903948685,-0.964169425466459,-127.711320604437,45.275126701358,60.0439829807262,0,0,0,0,0,0
673005000000,1178442.08779947,-417771.22484379,1211101.89167756,0.16584836299514,-0.204044481137912,0.0350979194063573,-0.964172342614295,-127.701661548231,45.271702455242,60.0348071494221,0,0,0,0,0,0
